week,building,kWh,thermal_kWh,gas_therm,water_gallon,heating_dd,normalized_kWh
2026-01-05,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,Wine Spectator Learning Ctr,20556.97,0.0,0.0,0.0,0.0,20556.97
2026-01-12,Campus Misc,29.8,0.0,0.0,0.0,0.0,29.8
2026-01-12,Green Music Center,167198.64138,54761.20138,0.0,0.0,0.0,167198.64138
2026-01-12,Ives Hall,14963.401102,14963.401102,0.0,0.0,0.0,14963.401102
2026-01-12,Nichols Hall,147834.341533,147834.341533,0.0,0.0,0.0,147834.341533
2026-01-12,Physical Education,9230.1,0.0,0.0,0.0,0.0,9230.1
2026-01-12,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,Student Center,6896.178848,6896.178848,0.0,0.0,0.0,6896.178848
2026-01-12,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,Wine Spectator Learning Ctr,21333.53,0.0,0.0,0.0,0.0,21333.53
2026-01-19,Campus Misc,29.95,0.0,0.0,0.0,0.0,29.95
2026-01-19,Green Music Center,320899.778281,51580.538281,0.0,0.0,0.0,320899.778281
2026-01-19,Ives Hall,12707.355632,12707.355632,0.0,0.0,0.0,12707.355632
2026-01-19,Nichols Hall,145698.736796,145698.736796,0.0,0.0,0.0,145698.736796
2026-01-19,Physical Education,9315.6,0.0,0.0,0.0,0.0,9315.6
2026-01-19,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,Student Center,7143.841178,7143.841178,0.0,0.0,0.0,7143.841178
2026-01-19,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,Wine Spectator Learning Ctr,19176.29,0.0,0.0,0.0,0.0,19176.29
2026-01-26,Campus Misc,29.58,0.0,0.0,0.0,0.0,29.58
2026-01-26,Green Music Center,249518.584316,53800.894316,0.0,0.0,0.0,249518.584316
2026-01-26,Ives Hall,12365.662418,12365.662418,0.0,0.0,0.0,12365.662418
2026-01-26,Nichols Hall,146322.556795,146322.556795,0.0,0.0,0.0,146322.556795
2026-01-26,Physical Education,9245.45,0.0,0.0,0.0,0.0,9245.45
2026-01-26,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,Student Center,10512.576355,10512.576355,0.0,0.0,0.0,10512.576355
2026-01-26,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,Wine Spectator Learning Ctr,20206.42,0.0,0.0,0.0,0.0,20206.42
2026-02-02,Campus Misc,29.35,0.0,0.0,0.0,0.0,29.35
2026-02-02,Green Music Center,333900.455248,65179.955248,0.0,0.0,0.0,333900.455248
2026-02-02,Ives Hall,8715.841169,8715.841169,0.0,0.0,0.0,8715.841169
2026-02-02,Nichols Hall,139765.219929,139765.219929,0.0,0.0,0.0,139765.219929
2026-02-02,Physical Education,9222.22,0.0,0.0,0.0,0.0,9222.22
2026-02-02,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,Student Center,14719.831852,14719.831852,0.0,0.0,0.0,14719.831852
2026-02-02,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,Wine Spectator Learning Ctr,20048.15,0.0,0.0,0.0,0.0,20048.15
2026-02-09,Campus Misc,29.47,0.0,0.0,0.0,0.0,29.47
2026-02-09,Green Music Center,223201.304631,37691.074631,0.0,0.0,0.0,223201.304631
2026-02-09,Ives Hall,6364.41024,6364.41024,0.0,0.0,0.0,6364.41024
2026-02-09,Nichols Hall,104180.793152,104180.793152,0.0,0.0,0.0,104180.793152
2026-02-09,Physical Education,6882.01,0.0,0.0,0.0,0.0,6882.01
2026-02-09,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,Student Center,6217.271345,6217.271345,0.0,0.0,0.0,6217.271345
2026-02-09,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,Wine Spectator Learning Ctr,13747.67,0.0,0.0,0.0,0.0,13747.67
2026-02-16,Campus Misc,29.91,0.0,0.0,0.0,0.0,29.91
2026-02-16,Green Music Center,436630.892089,60108.492089,0.0,0.0,0.0,436630.892089
2026-02-16,Ives Hall,18894.969194,18894.969194,0.0,0.0,0.0,18894.969194
2026-02-16,Nichols Hall,132574.898517,132574.898517,0.0,0.0,0.0,132574.898517
2026-02-16,Physical Education,8842.63,0.0,0.0,0.0,0.0,8842.63
2026-02-16,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16,Student Center,7651.04114,7651.04114,0.0,0.0,0.0,7651.04114
2026-02-16,Student Health Center,240.134532,240.134532,0.0,0.0,0.0,240.134532
2026-02-16,Wine Spectator Learning Ctr,20088.49,0.0,0.0,0.0,0.0,20088.49
2026-02-23,Campus Misc,28.71,0.0,0.0,0.0,0.0,28.71
2026-02-23,Green Music Center,345927.747164,157963.907164,0.0,0.0,0.0,345927.747164
2026-02-23,Ives Hall,5998.185814,5998.185814,0.0,0.0,0.0,5998.185814
2026-02-23,Nichols Hall,91120.111298,91120.111298,0.0,0.0,0.0,91120.111298
2026-02-23,Physical Education,9552.49,0.0,0.0,0.0,0.0,9552.49
2026-02-23,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,Student Center,20598.211478,20598.211478,0.0,0.0,0.0,20598.211478
2026-02-23,Student Health Center,3416.167062,3416.167062,0.0,0.0,0.0,3416.167062
2026-02-23,Wine Spectator Learning Ctr,20959.85,0.0,0.0,0.0,0.0,20959.85
2026-03-02,Campus Misc,20.68,0.0,0.0,0.0,0.0,20.68
2026-03-02,Green Music Center,343935.558999,98251.678999,0.0,0.0,0.0,343935.558999
2026-03-02,Ives Hall,4662.581525,4662.581525,0.0,0.0,0.0,4662.581525
2026-03-02,Nichols Hall,107189.798558,107189.798558,0.0,0.0,0.0,107189.798558
2026-03-02,Physical Education,9459.26,0.0,0.0,0.0,0.0,9459.26
2026-03-02,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Student Center,24599.960865,24599.960865,0.0,0.0,0.0,24599.960865
2026-03-02,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,Wine Spectator Learning Ctr,20107.99,0.0,0.0,0.0,0.0,20107.99
2026-03-09,Green Music Center,549886.468329,125291.718329,0.0,0.0,0.0,549886.468329
2026-03-09,Ives Hall,5739.808483,5739.808483,0.0,0.0,0.0,5739.808483
2026-03-09,Nichols Hall,132216.44549,132216.44549,0.0,0.0,0.0,132216.44549
2026-03-09,Physical Education,9582.62,0.0,0.0,0.0,0.0,9582.62
2026-03-09,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Student Center,25705.668161,25705.668161,0.0,0.0,0.0,25705.668161
2026-03-09,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Wine Spectator Learning Ctr,21442.32,0.0,0.0,0.0,0.0,21442.32
2026-03-16,Green Music Center,111010.169633,43865.689633,0.0,0.0,0.0,111010.169633
2026-03-16,Ives Hall,684.566856,684.566856,0.0,0.0,0.0,684.566856
2026-03-16,Nichols Hall,38665.302768,38665.302768,0.0,0.0,0.0,38665.302768
2026-03-16,Physical Education,2695.94,0.0,0.0,0.0,0.0,2695.94
2026-03-16,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Student Center,14229.59251,14229.59251,0.0,0.0,0.0,14229.59251
2026-03-16,Student Health Center,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,Wine Spectator Learning Ctr,7056.9,0.0,0.0,0.0,0.0,7056.9
2026-03-23,Green Music Center,329936.103182,105692.163182,0.0,0.0,0.0,329936.103182
2026-03-23,Ives Hall,5059.349664,5059.349664,0.0,0.0,0.0,5059.349664
2026-03-23,Nichols Hall,1412.950204,1412.950204,0.0,0.0,0.0,1412.950204
2026-03-23,Physical Education,8097.14,0.0,0.0,0.0,0.0,8097.14
